ID;Nama;Gender;Age;Height;Weight;Active;Fruit;Healthy;Sweetness;Saltiness;Sourness;Bitterness;Savoriness;Fattiness;Spiciness;Fried Rice - Chinese comfort food;Meatball Vegetable Soup;Chicken Satay;Simple Rendang;Chicken Porridge;Honey-Glazed Grilled Chicken;Chinese Style Chicken and Noodle Stir Fry;Monastery soup;My Asian Fried Fish Fillet;Pan-Fried Stuffed Tofu With Oyster Sauce;Grilled Duck;Autumn Salad;Japanese Sushi;Beef Tenderloin Steaks with Seared Mushrooms and Red Wine Vinaigrette;Vegetable Noodles;Chocolate Oatmeal;Creamy Curry Chicken With Yellow Rice;Thai Fish Cakes;Crispy Chicken Burger;An American Beef Burger;The Perfect Scrambled Eggs - Every Time;Smoked Salmon Fettuccine;Kare Katsu;Easy Crispy Oven Chicken;Mushroom Quesadillas;Lasagna Silvia;Chicken Wings;Crispy Fried Perch Fillets;Coconut Curry Ramen Noodles;Cheesy Beef Burrito;Best Chicken Parmesan;Beef Wellington;Chicken Cordon Bleu;Butter Chicken;Chicken Teriyaki with Soba Noodles;BLT Pizza;Grilled Salmon With Mango Salsa;Creamy Alfredo and Shrimp Pasta;Shrimp Tacos with Avocado, Grapefruit, and Creamy Cilantro Sauce;Chicken Caesar Salad;Nutella Stuffed French Toast;Spaghetti With Bolognese Sauce;BBQ Mac and Cheese;Bbq Chicken;Lemon - Garlic Chicken
41;Unknown;Male;23;162;48;Moderate active;2;2;2.360644444;4.238622222;1.514544444;1.414522222;2.808377778;3.656655556;0.040459474;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
42;Unknown;Female;25;160;68;Moderate active;3;3;1.397733333;2.481717778;0.883693333;0.855673333;1.651237778;2.186715556;0.014194081;3;4;3;1;3;3;3;2;2;3;3;3;3;3;3;3;3;4;5;1;3;4;4;4;3;3;4;3;4;2;4;1;2;2;2;3;3;4;4;2;4;2;2;3;3
43;Unknown;Female;21;150;41;Active;4;4;2.08691;3.510516667;1.19295;1.19905;2.381863333;3.07645;0.035990771;5;5;5;4;4;5;5;4;4;3;4;5;0;4;5;4;4;4;3;0;4;0;4;4;0;0;5;4;4;0;0;0;0;4;4;3;3;0;0;0;0;0;3;0;4
44;Unknown;Male;20;165;57;Not active;5;3;1.569053333;2.8669;0.981304444;0.907437778;1.877768889;2.457522222;0.030034562;3;4;4;4;3;4;4;5;3;3;2;3;2;4;3;3;3;4;5;5;5;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;2;2;3;3;3;4;3
45;Unknown;Female;24;173;68;Moderate active;5;4;1.68352;3.104044444;1.141397778;0.992208889;2.081148889;2.687277778;0.022464542;5;3;4;3;2;4;1;3;1;5;2;5;4;5;5;1;5;2;4;3;5;5;5;4;2;3;4;2;4;2;4;4;2;4;5;5;5;1;1;3;4;4;5;5;5
46;Unknown;Male;16;170;85;Moderate active;3;3;1.872275556;3.344251111;1.174804444;1.092891111;2.205331111;2.900391111;0.036949746;5;4;5;5;3;4;4;4;5;4;4;4;4;5;4;3;4;4;4;5;5;3;4;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;3
47;Unknown;Male;22;170;56;Very active;2;4;1.047393333;1.72894;0.628757778;0.589082222;1.137955556;1.527204444;0.0275075;1;5;5;5;3;1;1;5;5;1;3;3;3;2;3;3;4;2;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;3
48;Unknown;Female;20;165;90;Moderate active;4;3;2.007293333;3.569931111;1.224835556;1.164482222;2.379937778;3.091824444;0.035879743;5;5;5;5;5;5;5;3;5;3;3;3;3;5;4;5;5;5;5;4;5;3;5;5;2;3;5;5;5;3;5;4;5;5;4;4;3;3;3;2;5;3;5;5;5
49;Unknown;Male;38;170;69;Very active;2;3;1.662442222;2.993066667;1.107837778;1.035308889;1.968471111;2.646724444;0.018772206;3;3;2;2;4;3;4;5;2;3;5;5;2;4;4;2;4;4;3;5;5;5;3;3;5;5;2;5;2;2;2;2;1;2;4;3;5;5;5;5;5;3;3;4;5
50;Unknown;Male;26;172;56;Moderate active;2;3;1.861646667;3.308862222;1.183602222;1.10656;2.185955556;2.902164444;0.034677754;5;4;3;5;3;3;4;3;4;3;4;3;2;5;4;4;5;4;3;5;4;4;4;4;4;5;5;5;5;3;4;5;4;4;3;4;3;5;4;4;5;3;3;4;4
